company,eventDate,layoffsCount,industry,geography,aiRelevance,status,sourceQuality,primary source URL
Monday.com,2026-07-26,,Technology,Global,explicit_ai_cited,verified,reputable_reporting,https://www.techbuzz.ai/articles/monday-com-joins-20-tech-giants-citing-ai-for-2026-layoffs
Patreon,2026-07-23,93,Technology,United States,speculative_or_unclear,verified,reputable_reporting,https://techcrunch.com/2026/07/23/patreon-lays-off-off-20-of-its-workforce/
Thomson Reuters,2026-07-13,500,Technology,Global,explicit_ai_cited,verified,reputable_reporting,https://www.reuters.com/legal/litigation/thomson-reuters-cut-small-number-engineering-jobs-2026-07-13/
Microsoft,2026-07-06,4800,Technology,Global,ai_reorg_or_spend_linked,verified,reputable_reporting,https://www.bbc.com/news/articles/c36yy27rnpeo
Amperity,2026-06-25,,Technology,United States,explicit_ai_cited,verified,reputable_reporting,https://www.geekwire.com/2026/amperity-hit-with-layoffs-as-ai-changes-the-shape-of-the-customer-data-startup-and-how-it-operates/
Elastic,2026-06-24,281,Technology,Global,explicit_ai_cited,verified,primary,https://www.elastic.co/blog/ceo-ash-kulkarni-announcement-to-elastic-employees
Snyk,2026-06-24,90,Cybersecurity,Global,explicit_ai_cited,verified,reputable_reporting,https://cybernews.com/security/snyk-cuts-jobs-focus-on-ai-security/
General Motors,2026-06-22,1300,Other,United States,automation_efficiency_cited,verified,reputable_reporting,https://arstechnica.com/ai/2026/06/gm-installs-robots-at-flagship-ev-factory-after-laying-off-1300-workers/
Oracle,2026-06-22,21000,Technology,United States,explicit_ai_cited,verified,primary,https://www.sec.gov/Archives/edgar/data/1341439/000119312526277521/orcl-20260531.htm
Optimove,2026-06-17,,Technology,Global,explicit_ai_cited,verified,reputable_reporting,https://www.intergameonline.com/igaming/news/optimove-cut-jobs-artificial-intelligence-ai
Robinhood,2026-06-16,290,Finance,United States,speculative_or_unclear,needs_review,primary,https://www.sec.gov/Archives/edgar/data/1783879/000178387926000071/hood-20260616.htm
Rackspace Technology,2026-06-10,750,Technology,Global,explicit_ai_cited,verified,primary,https://www.sec.gov/Archives/edgar/data/1810019/000181001926000058/rxt-20260610.htm
Shopee,2026-06-10,,Technology,Singapore,ai_adjacent_restructuring,verified,reputable_reporting,https://www.straitstimes.com/business/seas-shopee-cuts-hundreds-of-developer-jobs-during-pivot-to-ai
Paytm,2026-06-09,400,Finance,India,ai_adjacent_restructuring,verified,reputable_reporting,https://www.moneycontrol.com/news/business/paytm-plans-10-staff-increase-in-ai-pivot-with-some-roles-cut-13944509.html
Salesforce,2026-06-08,86,Technology,United States,ai_reorg_or_spend_linked,verified,reputable_reporting,https://www.businessinsider.com/salesforce-cuts-jobs-agentforce-2026-6
GitLab,2026-06-01,350,Technology,Global,explicit_ai_cited,verified,primary,https://www.sec.gov/Archives/edgar/data/1653482/000162828026039805/gtlb-20260601.htm
